id,operator_id,category_id,destination_id,name,days,capacity,price,start_date,end_date,description,inclusions,exclusions,cancel_policy,eco_score,is_active,image,created_at
22,22,22,22,Tour Package #22,3,13,4024.03,26/11/2025,29/11/2025,Standard 3-day tour package covering key highlights.,"Hotel, Breakfast, Guided tours",Airfare,Full refund if canceled 7 days prior,3.44,1,https://example.com/images/trip22.jpg,10:04.2
23,23,23,23,Tour Package #23,4,10,1060,19/07/2025,23/07/2025,Standard 4-day tour package covering key highlights.,"Hotel, Breakfast, Guided tours",Airfare,Full refund if canceled 7 days prior,4.21,1,https://example.com/images/trip23.jpg,10:04.3
24,24,24,24,Tour Package #24,4,22,911.89,30/06/2025,04/07/2025,Standard 4-day tour package covering key highlights.,"Hotel, Breakfast, Guided tours",Airfare,Full refund if canceled 7 days prior,3.07,1,https://example.com/images/trip24.jpg,10:04.3
25,25,25,25,Tour Package #25,3,16,4824.64,18/07/2025,21/07/2025,Standard 3-day tour package covering key highlights.,"Hotel, Breakfast, Guided tours",Airfare,Full refund if canceled 7 days prior,4.44,1,https://example.com/images/trip25.jpg,10:04.3
26,26,26,26,Tour Package #26,10,16,3772.2,16/06/2025,26/06/2025,Standard 10-day tour package covering key highlights.,"Hotel, Breakfast, Guided tours",Airfare,Full refund if canceled 7 days prior,4.87,1,https://example.com/images/trip26.jpg,10:04.3
27,27,27,27,Tour Package #27,3,23,3292.7,06/08/2025,09/08/2025,Standard 3-day tour package covering key highlights.,"Hotel, Breakfast, Guided tours",Airfare,Full refund if canceled 7 days prior,3.14,1,https://example.com/images/trip27.jpg,10:04.3
28,28,28,28,Tour Package #28,4,19,2076.32,17/07/2025,21/07/2025,Standard 4-day tour package covering key highlights.,"Hotel, Breakfast, Guided tours",Airfare,Full refund if canceled 7 days prior,3.12,1,https://example.com/images/trip28.jpg,10:04.3
29,29,29,29,Tour Package #29,10,11,3184.18,27/11/2025,07/12/2025,Standard 10-day tour package covering key highlights.,"Hotel, Breakfast, Guided tours",Airfare,Full refund if canceled 7 days prior,4.98,1,https://example.com/images/trip29.jpg,10:04.3
30,30,30,30,Tour Package #30,6,18,2113.5,05/12/2025,11/12/2025,Standard 6-day tour package covering key highlights.,"Hotel, Breakfast, Guided tours",Airfare,Full refund if canceled 7 days prior,3.94,1,https://example.com/images/trip30.jpg,10:04.3
31,31,31,31,Tour Package #31,5,16,4849.47,15/06/2025,20/06/2025,Standard 5-day tour package covering key highlights.,"Hotel, Breakfast, Guided tours",Airfare,Full refund if canceled 7 days prior,4.58,1,https://example.com/images/trip31.jpg,10:04.3
32,32,32,32,Tour Package #32,5,15,2040.41,04/08/2025,09/08/2025,Standard 5-day tour package covering key highlights.,"Hotel, Breakfast, Guided tours",Airfare,Full refund if canceled 7 days prior,3.23,1,https://example.com/images/trip32.jpg,10:04.3
33,33,33,33,Tour Package #33,10,15,559.42,22/11/2025,02/12/2025,Standard 10-day tour package covering key highlights.,"Hotel, Breakfast, Guided tours",Airfare,Full refund if canceled 7 days prior,3.82,1,https://example.com/images/trip33.jpg,10:04.3
34,34,34,34,Tour Package #34,7,21,2248.89,16/11/2025,23/11/2025,Standard 7-day tour package covering key highlights.,"Hotel, Breakfast, Guided tours",Airfare,Full refund if canceled 7 days prior,3.5,1,https://example.com/images/trip34.jpg,10:04.3
35,35,35,35,Tour Package #35,3,24,3837.08,25/08/2025,28/08/2025,Standard 3-day tour package covering key highlights.,"Hotel, Breakfast, Guided tours",Airfare,Full refund if canceled 7 days prior,4.48,1,https://example.com/images/trip35.jpg,10:04.3
36,36,36,36,Tour Package #36,7,14,1580.59,02/10/2025,09/10/2025,Standard 7-day tour package covering key highlights.,"Hotel, Breakfast, Guided tours",Airfare,Full refund if canceled 7 days prior,3.7,1,https://example.com/images/trip36.jpg,10:04.3
37,37,37,37,Tour Package #37,7,21,3156.25,10/11/2025,17/11/2025,Standard 7-day tour package covering key highlights.,"Hotel, Breakfast, Guided tours",Airfare,Full refund if canceled 7 days prior,4.71,1,https://example.com/images/trip37.jpg,10:04.3
38,38,38,38,Tour Package #38,5,19,2246.08,15/09/2025,20/09/2025,Standard 5-day tour package covering key highlights.,"Hotel, Breakfast, Guided tours",Airfare,Full refund if canceled 7 days prior,4.66,1,https://example.com/images/trip38.jpg,10:04.3
39,39,39,39,Tour Package #39,4,10,3175.6,26/11/2025,30/11/2025,Standard 4-day tour package covering key highlights.,"Hotel, Breakfast, Guided tours",Airfare,Full refund if canceled 7 days prior,3.67,1,https://example.com/images/trip39.jpg,10:04.3
40,40,40,40,Tour Package #40,6,17,3368.3,05/09/2025,11/09/2025,Standard 6-day tour package covering key highlights.,"Hotel, Breakfast, Guided tours",Airfare,Full refund if canceled 7 days prior,4.42,1,https://example.com/images/trip40.jpg,10:04.3
41,41,41,41,Tour Package #41,9,11,2310.2,27/11/2025,06/12/2025,Standard 9-day tour package covering key highlights.,"Hotel, Breakfast, Guided tours",Airfare,Full refund if canceled 7 days prior,4.13,1,https://example.com/images/trip41.jpg,10:04.3
42,42,42,42,Tour Package #42,3,15,2504.08,06/08/2025,09/08/2025,Standard 3-day tour package covering key highlights.,"Hotel, Breakfast, Guided tours",Airfare,Full refund if canceled 7 days prior,4.4,1,https://example.com/images/trip42.jpg,10:04.3
43,43,43,43,Tour Package #43,10,25,4586.18,02/11/2025,12/11/2025,Standard 10-day tour package covering key highlights.,"Hotel, Breakfast, Guided tours",Airfare,Full refund if canceled 7 days prior,4.51,1,https://example.com/images/trip43.jpg,10:04.3
44,44,44,44,Tour Package #44,3,25,1966.75,28/09/2025,01/10/2025,Standard 3-day tour package covering key highlights.,"Hotel, Breakfast, Guided tours",Airfare,Full refund if canceled 7 days prior,3.1,1,https://example.com/images/trip44.jpg,10:04.3
45,45,45,45,Tour Package #45,9,16,2968.53,10/11/2025,19/11/2025,Standard 9-day tour package covering key highlights.,"Hotel, Breakfast, Guided tours",Airfare,Full refund if canceled 7 days prior,4.96,1,https://example.com/images/trip45.jpg,10:04.3
46,46,46,46,Tour Package #46,5,10,2308.18,21/11/2025,26/11/2025,Standard 5-day tour package covering key highlights.,"Hotel, Breakfast, Guided tours",Airfare,Full refund if canceled 7 days prior,3.83,1,https://example.com/images/trip46.jpg,10:04.3
47,47,47,47,Tour Package #47,3,16,564.31,11/12/2025,14/12/2025,Standard 3-day tour package covering key highlights.,"Hotel, Breakfast, Guided tours",Airfare,Full refund if canceled 7 days prior,3,1,https://example.com/images/trip47.jpg,10:04.3
48,48,48,48,Tour Package #48,4,16,1035.07,14/11/2025,18/11/2025,Standard 4-day tour package covering key highlights.,"Hotel, Breakfast, Guided tours",Airfare,Full refund if canceled 7 days prior,3.4,1,https://example.com/images/trip48.jpg,10:04.3
49,49,49,49,Tour Package #49,7,18,3598.43,17/07/2025,24/07/2025,Standard 7-day tour package covering key highlights.,"Hotel, Breakfast, Guided tours",Airfare,Full refund if canceled 7 days prior,3.2,1,https://example.com/images/trip49.jpg,10:04.3
50,50,50,50,Tour Package #50,9,12,598.3,24/09/2025,03/10/2025,Standard 9-day tour package covering key highlights.,"Hotel, Breakfast, Guided tours",Airfare,Full refund if canceled 7 days prior,4.6,1,https://example.com/images/trip50.jpg,10:04.3
